엘사
다이하드
정신병자
눈사람
올라프
영국
여름
열대야
눈사람
온난화
출근
사막
더위
냉장고
뙤약볕
태양
눈사람
냉장고
얼음
녹음
사막
올라프
죽음
햇빛
죽음
자살
자멸
융해
사막
눈사람
위기
면접
시험
과제
