바다
문어
잠수함
칠흙
암흑
어둠
심해
등대
보물
모험
열쇠
소년
조작
기계
발명
컨트롤러
명령
걸음
다리
멍청이
외톨이
메카닉
공대생
엔지니어
아이언맨
컴맹
수리
압사
공돌이
공대생
기계
전쟁
폭탄
잿빛
폭발
화약
옴닉
조종
FIN
