브로드웨이
뮤지컬
디즈니
타잔
호박
버섯
아마존
열대우림
사바나
초원
왕
호랑이
왕
왕자
세자
정글
권력
계승
사자
왕위
외로움
라이온킹
사자
왕자
왕
고난
왕좌
왕위
혈통
싸움
왕자
왕
왕좌
세자
부담
갈망
권위
고대
희망
의자
사자
라이온킹
품바
티몬
신비의숲
신비
왕
왕좌
왕자
