호기심
탐구
교감
소통
먹이사슬
관찰
과학
우정
우주
우주선
우주복
물고기
외계인
의사소통
행성
별
똥
공손
ET
인사
레이저
박물관
별똥별
유성우
우주
외계인
채집
망상
허상
갈망
이지선다
선택
꿈
희
