징맨
변태
트레이너
헬스장
지석진
왕코
대두
2등신
헤어밴드
지니
램프
소녀
소원
꿈
잠
양탄자
윌스미스
알라딘
요정
시험기간
지니
소원
소원3가지
아라비아
양탄자
책
램프
요술램프
바보
멍청이
어리석음
지니
알라딘
인도
소원
허탕
기회
동화
주인공
쟈스민
양탄자
지니
알라딘
소원
3가지
꿈
램프
지니의램프
자스민
디즈니
