미래
SF
과학
기계
리모콘
레게
흑인
증기
기관
정비공
메카닉
편지
불
구멍
단서
빈칸
영어
두루마리
양피지
소실
꿈
심해
침대
잠
돛
배
헤엄
수영
꿈나라
심해
바다
침대
잠
상상
물고기
해파리
물소리
아틀란티스
공주
항해
쓰레기
습도
불쾌
짜증
신기함
말미잘
바다
물
꿈
숙면
침실
심연
수면
명상
익사
침수
상상
침대
바다속
심해
친구
물곡
물고기
해파리
산호초
