바다
문어
잠수함
칠흙
암흑
어둠
심해
등대
보물
모험
열쇠
탐험
심해
문어
기계
잠수함
등불
다재다능
스팀펑크
크라켄
해적
부양
공기
산소
산소통
질식
폐쇄공포증
폐쇄
공포
죽음
공부
암흑
심해
어둠
문어
시험
탐색
망망대해
오징어
괴물
