공작새
시선
감시
간섭
깃털
눈
시각
과시
공작
화려함
매료
눈
매혹
새
부리
초록색
파란색
여우
공포증
공황장애
우울증
방황
부담
공포
이파리
화장
치장
시선
스포트라이트
천진반
눈
눈알
마음
두려움
실명
공작
새
화려함
유혹
짝짓기
구애
눈
푸른색
초록색
화려
