아마존
얼룩말
지옥
지옥도
파이썬
아나콘다
피라냐
열대우림
엘니뇨
라니냐
위험
여림
꿋꿋함
생명
가시
위협
식물
공포
덩쿨
생명
위험
빛
삶
숲
푸름
잔디
꽃
생명
질투
위험
포위
보호
결실
숲
정글
탐욕
탐식
