미래
SF
과학
기계
리모콘
레게
흑인
증기
기관
정비공
메카닉
편지
불
구멍
단서
빈칸
영어
두루마리
양피지
소실
소년
조작
기계
발명
컨트롤러
명령
걸음
다리
